Iteracja;Czas;Temperatura;Nastawa Grzejnika
0;0.0;10.0;0.00
1;5.0;10.4;1.00
2;10.0;10.7;1.00
3;15.0;11.1;1.00
4;20.0;11.4;1.00
5;25.0;11.8;1.00
6;30.0;12.1;1.00
7;35.0;12.5;1.00
8;40.0;12.8;1.00
9;45.0;13.2;1.00
10;50.0;13.5;1.00
11;55.0;13.9;1.00
12;60.0;14.2;1.00
13;65.0;14.5;1.00
14;70.0;14.9;1.00
15;75.0;15.2;1.00
16;80.0;15.6;1.00
17;85.0;15.9;1.00
18;90.0;16.2;1.00
19;95.0;16.6;1.00
20;100.0;16.9;1.00
21;105.0;17.2;1.00
22;110.0;17.5;1.00
23;115.0;17.9;1.00
24;120.0;18.2;1.00
25;125.0;18.5;1.00
26;130.0;18.9;1.00
27;135.0;19.2;1.00
28;140.0;19.5;1.00
29;145.0;19.8;1.00
30;150.0;20.1;1.00
31;155.0;20.5;1.00
32;160.0;20.8;1.00
33;165.0;21.1;1.00
34;170.0;21.4;1.00
35;175.0;21.7;1.00
36;180.0;22.0;1.00
37;185.0;21.9;0.00
38;190.0;22.2;1.00
39;195.0;22.0;0.00
40;200.0;21.9;0.00
41;205.0;22.2;1.00
42;210.0;22.0;0.00
43;215.0;21.9;0.00
44;220.0;22.2;1.00
45;225.0;22.0;0.00
46;230.0;21.8;0.00
47;235.0;22.2;1.00
48;240.0;22.0;0.00
49;245.0;22.3;1.00
50;250.0;22.1;0.00
51;255.0;22.0;0.00
52;260.0;22.3;1.00
53;265.0;22.1;0.00
54;270.0;22.0;0.00
55;275.0;22.3;1.00
56;280.0;22.1;0.00
57;285.0;22.0;0.00
58;290.0;22.3;1.00
59;295.0;22.1;0.00
60;300.0;21.9;0.00
61;305.0;22.3;1.00
62;310.0;22.1;0.00
63;315.0;21.9;0.00
64;320.0;22.2;1.00
65;325.0;22.1;0.00
66;330.0;21.9;0.00
67;335.0;22.2;1.00
68;340.0;22.1;0.00
69;345.0;21.9;0.00
70;350.0;22.2;1.00
71;355.0;22.1;0.00
72;360.0;21.9;0.00
73;365.0;22.2;1.00
74;370.0;22.1;0.00
75;375.0;21.9;0.00
76;380.0;22.2;1.00
77;385.0;22.0;0.00
78;390.0;21.9;0.00
79;395.0;22.2;1.00
80;400.0;22.0;0.00
81;405.0;21.9;0.00
82;410.0;22.2;1.00
83;415.0;22.0;0.00
84;420.0;21.9;0.00
85;425.0;22.2;1.00
86;430.0;22.0;0.00
87;435.0;21.9;0.00
88;440.0;22.2;1.00
89;445.0;22.0;0.00
90;450.0;21.8;0.00
91;455.0;22.2;1.00
92;460.0;22.0;0.00
93;465.0;22.3;1.00
94;470.0;22.1;0.00
95;475.0;22.0;0.00
96;480.0;22.3;1.00
97;485.0;22.1;0.00
98;490.0;22.0;0.00
99;495.0;22.3;1.00
100;500.0;22.1;0.00
101;505.0;22.0;0.00
102;510.0;22.3;1.00
103;515.0;22.1;0.00
104;520.0;22.0;0.00
105;525.0;22.3;1.00
106;530.0;22.1;0.00
107;535.0;21.9;0.00
108;540.0;22.3;1.00
109;545.0;22.1;0.00
110;550.0;21.9;0.00
111;555.0;22.2;1.00
112;560.0;22.1;0.00
113;565.0;21.9;0.00
114;570.0;22.2;1.00
115;575.0;22.1;0.00
116;580.0;21.9;0.00
117;585.0;22.2;1.00
118;590.0;22.1;0.00
119;595.0;21.9;0.00
120;600.0;22.2;1.00
121;605.0;22.0;0.00
122;610.0;21.9;0.00
123;615.0;22.2;1.00
124;620.0;22.0;0.00
125;625.0;21.9;0.00
126;630.0;22.2;1.00
127;635.0;22.0;0.00
128;640.0;21.9;0.00
129;645.0;22.2;1.00
130;650.0;22.0;0.00
131;655.0;21.9;0.00
132;660.0;22.2;1.00
133;665.0;22.0;0.00
134;670.0;21.8;0.00
135;675.0;22.2;1.00
136;680.0;22.0;0.00
137;685.0;22.3;1.00
138;690.0;22.1;0.00
139;695.0;22.0;0.00
140;700.0;22.3;1.00
141;705.0;22.1;0.00
142;710.0;22.0;0.00
143;715.0;22.3;1.00
144;720.0;22.1;0.00
145;725.0;22.0;0.00
146;730.0;22.3;1.00
147;735.0;22.1;0.00
148;740.0;22.0;0.00
149;745.0;22.3;1.00
150;750.0;22.1;0.00
151;755.0;21.9;0.00
152;760.0;22.3;1.00
153;765.0;22.1;0.00
154;770.0;21.9;0.00
155;775.0;22.2;1.00
156;780.0;22.1;0.00
157;785.0;21.9;0.00
158;790.0;22.2;1.00
159;795.0;22.1;0.00
160;800.0;21.9;0.00
161;805.0;22.2;1.00
162;810.0;22.1;0.00
163;815.0;21.9;0.00
164;820.0;22.2;1.00
165;825.0;22.0;0.00
166;830.0;21.9;0.00
167;835.0;22.2;1.00
168;840.0;22.0;0.00
169;845.0;21.9;0.00
170;850.0;22.2;1.00
171;855.0;22.0;0.00
172;860.0;21.9;0.00
173;865.0;22.2;1.00
174;870.0;22.0;0.00
175;875.0;21.9;0.00
176;880.0;22.2;1.00
177;885.0;22.0;0.00
178;890.0;21.8;0.00
179;895.0;22.2;1.00
180;900.0;22.0;0.00
181;905.0;22.3;1.00
182;910.0;22.1;0.00
183;915.0;22.0;0.00
184;920.0;22.3;1.00
185;925.0;22.1;0.00
186;930.0;22.0;0.00
187;935.0;22.3;1.00
188;940.0;22.1;0.00
189;945.0;22.0;0.00
190;950.0;22.3;1.00
191;955.0;22.1;0.00
192;960.0;22.0;0.00
193;965.0;22.3;1.00
194;970.0;22.1;0.00
195;975.0;21.9;0.00
196;980.0;22.3;1.00
197;985.0;22.1;0.00
198;990.0;21.9;0.00
199;995.0;22.2;1.00
